Decay (d)	T_eff	L/C amp (mag)
76.997288	4609	0.006624
61.510783	4284	0.003565
282.088710	3755	0.004136
72.635069	5232	0.006687
9.994192	5512	0.000992
58.563791	5037	0.004409
328.632938	5190	0.011994
20.244098	5699	0.001179
103.888683	4274	0.007812
67.747725	4947	0.005134
226.907430	4358	0.011148
30.110283	5206	0.001978
11.530207	5773	0.000947
57.507986	4839	0.004852
50.404922	4409	0.005637
338.645800	4626	0.023657
199.747688	5046	0.018840
117.881499	4426	0.008705
88.987547	5126	0.004626
11.197397	5175	0.002327
37.237651	5775	0.002287
30.773562	5561	0.004153
35.404698	5653	0.003090
88.038366	5254	0.012922
223.881810	3822	0.005612
265.748876	3844	0.008358
60.815475	5574	0.005403
39.283442	5520	0.004757
207.882275	3761	0.006901
28.450881	5166	0.002730
57.305770	4872	0.010031
84.802073	5109	0.005579
259.001947	3491	0.008288
115.030318	5321	0.005521
77.482707	5367	0.004831
70.367503	3799	0.001927
96.895919	4420	0.007009
63.707194	3647	0.002769
38.292693	3545	0.003629
24.791391	4187	0.003248
24.734780	5731	0.001512
111.582923	4898	0.009219
31.614909	5685	0.004271
100.866081	4684	0.011271
87.779295	4357	0.010930
207.119197	5149	0.009201
24.860127	5927	0.000908
33.489460	5188	0.005153
36.853152	5410	0.005048
58.719636	5724	0.004778
910.719483	3469	0.016007
44.199354	5452	0.005329
27.643260	5626	0.002868
64.612393	5339	0.006343
19.749482	5731	0.002712
88.030547	4743	0.005589
34.266686	5746	0.001745
40.776085	5462	0.002286
46.596748	5231	0.002427
120.183776	4984	0.012385
102.541575	4894	0.006387
204.407428	4847	0.019087
92.231384	5492	0.005619
46.007176	5252	0.002783
52.158608	5566	0.005584
42.481689	5451	0.004917
99.959918	4302	0.007109
213.567041	5070	0.011733
85.726765	5037	0.013163
51.702035	5692	0.002851
70.237217	5212	0.008853
115.897356	3522	0.006920
149.634095	4339	0.007111
439.361387	3587	0.004531
31.659918	5837	0.002578
16.118076	5708	0.001119
122.173774	4977	0.008575
23.609016	4437	0.003913
135.201354	4888	0.009663
42.247138	5682	0.006887
69.877116	5065	0.007362
150.730952	5028	0.011554
10.546164	5631	0.000383
40.812793	3769	0.003632
55.712472	6159	0.001089
121.305008	5241	0.011803
21.462635	5692	0.001864
42.356677	5282	0.006153
52.847009	5495	0.008129
17.055225	5586	0.002358
66.698246	4712	0.007981
194.391071	5468	0.007985
68.220482	5088	0.008581
55.790314	3757	0.001843
49.122381	5469	0.003370
520.948454	3745	0.008019
143.535931	4759	0.015259
88.548392	4349	0.004276
65.354647	3800	0.003019
15.035970	5837	0.001837
57.540373	4908	0.007522
50.896495	5832	0.001244
97.373868	4714	0.005982
27.869593	5859	0.001293
151.449796	4716	0.012806
76.152669	4055	0.003826
361.149872	4657	0.019104
188.106716	4675	0.010429
35.953200	5575	0.003875
49.733786	4500	0.002256
48.283733	4182	0.002782
83.648757	5526	0.005543
101.292533	5376	0.010158
